,window,mean_geoaltitude
96,"Row(start=datetime.datetime(2022, 2, 20, 11, 52), end=datetime.datetime(2022, 2, 20, 11, 54))",1013.4600000000006
97,"Row(start=datetime.datetime(2022, 2, 20, 11, 58), end=datetime.datetime(2022, 2, 20, 12, 0))",2239.6173913043485
98,"Row(start=datetime.datetime(2022, 2, 20, 12, 0), end=datetime.datetime(2022, 2, 20, 12, 2))",2259.5237288135613
99,"Row(start=datetime.datetime(2022, 2, 20, 12, 2), end=datetime.datetime(2022, 2, 20, 12, 4))",2267.3945000000035
100,"Row(start=datetime.datetime(2022, 2, 20, 12, 4), end=datetime.datetime(2022, 2, 20, 12, 6))",2270.760000000004
101,"Row(start=datetime.datetime(2022, 2, 20, 12, 6), end=datetime.datetime(2022, 2, 20, 12, 8))",2270.760000000003
102,"Row(start=datetime.datetime(2022, 2, 20, 12, 38), end=datetime.datetime(2022, 2, 20, 12, 40))",1061.950909090909
103,"Row(start=datetime.datetime(2022, 2, 20, 12, 40), end=datetime.datetime(2022, 2, 20, 12, 42))",1084.0085000000024
104,"Row(start=datetime.datetime(2022, 2, 20, 12, 42), end=datetime.datetime(2022, 2, 20, 12, 44))",1034.0975000000003
105,"Row(start=datetime.datetime(2022, 2, 20, 12, 44), end=datetime.datetime(2022, 2, 20, 12, 46))",1009.8405000000004
106,"Row(start=datetime.datetime(2022, 2, 20, 12, 46), end=datetime.datetime(2022, 2, 20, 12, 48))",961.1995000000006
107,"Row(start=datetime.datetime(2022, 2, 20, 12, 48), end=datetime.datetime(2022, 2, 20, 12, 50))",910.7170000000006
108,"Row(start=datetime.datetime(2022, 2, 20, 12, 50), end=datetime.datetime(2022, 2, 20, 12, 52))",874.7124999999985
109,"Row(start=datetime.datetime(2022, 2, 20, 12, 52), end=datetime.datetime(2022, 2, 20, 12, 54))",849.3760000000008
110,"Row(start=datetime.datetime(2022, 2, 20, 12, 54), end=datetime.datetime(2022, 2, 20, 12, 56))",724.9159999999999
111,"Row(start=datetime.datetime(2022, 2, 20, 12, 56), end=datetime.datetime(2022, 2, 20, 12, 58))",874.4338775510204
112,"Row(start=datetime.datetime(2022, 2, 20, 12, 58), end=datetime.datetime(2022, 2, 20, 13, 0))",1442.1802500000051
113,"Row(start=datetime.datetime(2022, 2, 20, 13, 0), end=datetime.datetime(2022, 2, 20, 13, 2))",2614.812605042017
114,"Row(start=datetime.datetime(2022, 2, 20, 13, 2), end=datetime.datetime(2022, 2, 20, 13, 4))",2550.159999999998
115,"Row(start=datetime.datetime(2022, 2, 20, 13, 4), end=datetime.datetime(2022, 2, 20, 13, 6))",2574.8614999999995
116,"Row(start=datetime.datetime(2022, 2, 20, 13, 6), end=datetime.datetime(2022, 2, 20, 13, 8))",2429.764000000004
117,"Row(start=datetime.datetime(2022, 2, 20, 13, 8), end=datetime.datetime(2022, 2, 20, 13, 10))",2314.7019999999984
118,"Row(start=datetime.datetime(2022, 2, 20, 13, 10), end=datetime.datetime(2022, 2, 20, 13, 12))",2199.5764999999997
119,"Row(start=datetime.datetime(2022, 2, 20, 13, 12), end=datetime.datetime(2022, 2, 20, 13, 14))",2174.303500000004
120,"Row(start=datetime.datetime(2022, 2, 20, 13, 14), end=datetime.datetime(2022, 2, 20, 13, 16))",2181.669499999998
121,"Row(start=datetime.datetime(2022, 2, 20, 13, 16), end=datetime.datetime(2022, 2, 20, 13, 18))",2062.9880000000016
122,"Row(start=datetime.datetime(2022, 2, 20, 13, 18), end=datetime.datetime(2022, 2, 20, 13, 20))",1988.820000000005
123,"Row(start=datetime.datetime(2022, 2, 20, 13, 20), end=datetime.datetime(2022, 2, 20, 13, 22))",1988.820000000005
124,"Row(start=datetime.datetime(2022, 2, 20, 13, 22), end=datetime.datetime(2022, 2, 20, 13, 24))",1988.820000000001
125,"Row(start=datetime.datetime(2022, 2, 20, 14, 20), end=datetime.datetime(2022, 2, 20, 14, 22))",2234.134838709678
126,"Row(start=datetime.datetime(2022, 2, 20, 14, 22), end=datetime.datetime(2022, 2, 20, 14, 24))",2235.5175000000027
127,"Row(start=datetime.datetime(2022, 2, 20, 14, 24), end=datetime.datetime(2022, 2, 20, 14, 26))",2266.8864999999983
128,"Row(start=datetime.datetime(2022, 2, 20, 14, 26), end=datetime.datetime(2022, 2, 20, 14, 28))",2182.0505
129,"Row(start=datetime.datetime(2022, 2, 20, 14, 28), end=datetime.datetime(2022, 2, 20, 14, 30))",2069.3102521008404
130,"Row(start=datetime.datetime(2022, 2, 20, 14, 30), end=datetime.datetime(2022, 2, 20, 14, 32))",2063.3689999999965
131,"Row(start=datetime.datetime(2022, 2, 20, 14, 32), end=datetime.datetime(2022, 2, 20, 14, 34))",2068.1950000000024
132,"Row(start=datetime.datetime(2022, 2, 20, 14, 34), end=datetime.datetime(2022, 2, 20, 14, 36))",2068.7030000000027
133,"Row(start=datetime.datetime(2022, 2, 20, 14, 36), end=datetime.datetime(2022, 2, 20, 14, 38))",2097.024
134,"Row(start=datetime.datetime(2022, 2, 20, 14, 38), end=datetime.datetime(2022, 2, 20, 14, 40))",2176.271999999999
135,"Row(start=datetime.datetime(2022, 2, 20, 14, 40), end=datetime.datetime(2022, 2, 20, 14, 42))",2081.9109999999982
136,"Row(start=datetime.datetime(2022, 2, 20, 14, 42), end=datetime.datetime(2022, 2, 20, 14, 44))",1939.7979999999998
137,"Row(start=datetime.datetime(2022, 2, 20, 14, 44), end=datetime.datetime(2022, 2, 20, 14, 46))",1907.0320000000006
138,"Row(start=datetime.datetime(2022, 2, 20, 14, 46), end=datetime.datetime(2022, 2, 20, 14, 48))",1807.083000000002
139,"Row(start=datetime.datetime(2022, 2, 20, 14, 48), end=datetime.datetime(2022, 2, 20, 14, 50))",1805.9400000000019
140,"Row(start=datetime.datetime(2022, 2, 20, 14, 50), end=datetime.datetime(2022, 2, 20, 14, 52))",1805.9400000000014
141,"Row(start=datetime.datetime(2022, 2, 20, 15, 2), end=datetime.datetime(2022, 2, 20, 15, 4))",235.50562500000004
142,"Row(start=datetime.datetime(2022, 2, 20, 15, 4), end=datetime.datetime(2022, 2, 20, 15, 6))",692.2769999999998
143,"Row(start=datetime.datetime(2022, 2, 20, 15, 6), end=datetime.datetime(2022, 2, 20, 15, 8))",1165.9870000000003
144,"Row(start=datetime.datetime(2022, 2, 20, 15, 8), end=datetime.datetime(2022, 2, 20, 15, 10))",1693.2275000000004
145,"Row(start=datetime.datetime(2022, 2, 20, 15, 10), end=datetime.datetime(2022, 2, 20, 15, 12))",2195.1315000000004
146,"Row(start=datetime.datetime(2022, 2, 20, 15, 12), end=datetime.datetime(2022, 2, 20, 15, 14))",2624.9629999999993
147,"Row(start=datetime.datetime(2022, 2, 20, 15, 14), end=datetime.datetime(2022, 2, 20, 15, 16))",2831.401500000004
148,"Row(start=datetime.datetime(2022, 2, 20, 15, 16), end=datetime.datetime(2022, 2, 20, 15, 18))",2850.5149999999994
149,"Row(start=datetime.datetime(2022, 2, 20, 15, 18), end=datetime.datetime(2022, 2, 20, 15, 20))",2859.2145000000005
150,"Row(start=datetime.datetime(2022, 2, 20, 15, 20), end=datetime.datetime(2022, 2, 20, 15, 22))",2842.133000000004
151,"Row(start=datetime.datetime(2022, 2, 20, 15, 22), end=datetime.datetime(2022, 2, 20, 15, 24))",2851.9755000000014
152,"Row(start=datetime.datetime(2022, 2, 20, 15, 24), end=datetime.datetime(2022, 2, 20, 15, 26))",2861.881499999999
153,"Row(start=datetime.datetime(2022, 2, 20, 15, 26), end=datetime.datetime(2022, 2, 20, 15, 28))",2695.6384999999977
154,"Row(start=datetime.datetime(2022, 2, 20, 15, 28), end=datetime.datetime(2022, 2, 20, 15, 30))",2583.179999999995
155,"Row(start=datetime.datetime(2022, 2, 20, 15, 30), end=datetime.datetime(2022, 2, 20, 15, 32))",2583.179999999995
156,"Row(start=datetime.datetime(2022, 2, 20, 15, 32), end=datetime.datetime(2022, 2, 20, 15, 34))",2583.1799999999976
157,"Row(start=datetime.datetime(2022, 2, 20, 16, 56), end=datetime.datetime(2022, 2, 20, 16, 58))",2659.01129032258
158,"Row(start=datetime.datetime(2022, 2, 20, 16, 58), end=datetime.datetime(2022, 2, 20, 17, 0))",2465.451000000001
159,"Row(start=datetime.datetime(2022, 2, 20, 17, 0), end=datetime.datetime(2022, 2, 20, 17, 2))",2183.354117647058
160,"Row(start=datetime.datetime(2022, 2, 20, 17, 2), end=datetime.datetime(2022, 2, 20, 17, 4))",1976.183499999999
161,"Row(start=datetime.datetime(2022, 2, 20, 17, 4), end=datetime.datetime(2022, 2, 20, 17, 6))",1977.262999999999
162,"Row(start=datetime.datetime(2022, 2, 20, 17, 6), end=datetime.datetime(2022, 2, 20, 17, 8))",1952.4979999999996
163,"Row(start=datetime.datetime(2022, 2, 20, 17, 8), end=datetime.datetime(2022, 2, 20, 17, 10))",1685.036
164,"Row(start=datetime.datetime(2022, 2, 20, 17, 10), end=datetime.datetime(2022, 2, 20, 17, 12))",1520.5074999999974
165,"Row(start=datetime.datetime(2022, 2, 20, 17, 12), end=datetime.datetime(2022, 2, 20, 17, 14))",1523.3014999999998
166,"Row(start=datetime.datetime(2022, 2, 20, 17, 14), end=datetime.datetime(2022, 2, 20, 17, 16))",1178.6869999999992
167,"Row(start=datetime.datetime(2022, 2, 20, 17, 16), end=datetime.datetime(2022, 2, 20, 17, 18))",862.5205000000008
168,"Row(start=datetime.datetime(2022, 2, 20, 17, 18), end=datetime.datetime(2022, 2, 20, 17, 20))",285.6864999999997
169,"Row(start=datetime.datetime(2022, 2, 20, 17, 20), end=datetime.datetime(2022, 2, 20, 17, 22))",144.7800000000002
170,"Row(start=datetime.datetime(2022, 2, 20, 17, 22), end=datetime.datetime(2022, 2, 20, 17, 24))",144.7800000000002
171,"Row(start=datetime.datetime(2022, 2, 20, 17, 24), end=datetime.datetime(2022, 2, 20, 17, 26))",144.78000000000006
172,"Row(start=datetime.datetime(2022, 2, 21, 7, 54), end=datetime.datetime(2022, 2, 21, 7, 56))",2110.086857142859
173,"Row(start=datetime.datetime(2022, 2, 21, 7, 56), end=datetime.datetime(2022, 2, 21, 7, 58))",3196.1455
174,"Row(start=datetime.datetime(2022, 2, 21, 7, 58), end=datetime.datetime(2022, 2, 21, 8, 0))",4276.471
175,"Row(start=datetime.datetime(2022, 2, 21, 8, 0), end=datetime.datetime(2022, 2, 21, 8, 2))",5171.73882352941
176,"Row(start=datetime.datetime(2022, 2, 21, 8, 2), end=datetime.datetime(2022, 2, 21, 8, 4))",5776.785499999987
177,"Row(start=datetime.datetime(2022, 2, 21, 8, 4), end=datetime.datetime(2022, 2, 21, 8, 6))",5806.6304999999875
178,"Row(start=datetime.datetime(2022, 2, 21, 8, 6), end=datetime.datetime(2022, 2, 21, 8, 8))",5806.439999999988
179,"Row(start=datetime.datetime(2022, 2, 21, 8, 8), end=datetime.datetime(2022, 2, 21, 8, 10))",5800.724999999991
