,time,lat,lon,geoaltitude,signature
3314,1645233182,26.33394920219809,-98.38003305288458,8267.7,0
3315,1645233183,26.33331298828125,-98.3816355579304,8267.7,0
3316,1645233184,26.332785396252646,-98.38293809157153,8267.7,0
3317,1645233185,26.332226769398833,-98.38441702035755,8267.7,0
3318,1645233186,26.3316650390625,-98.38572951982604,8267.7,0
3319,1645233187,26.33111572265625,-98.3871805442954,8267.7,0
3320,1645233188,26.330520629882812,-98.38863156876471,8267.7,0
3321,1645233189,26.32999226198358,-98.3899630033053,8267.7,0
3322,1645233190,26.329433635129767,-98.39138911320612,8267.7,0
3323,1645233191,26.328781127929688,-98.39303646447524,8267.7,0
3324,1645233192,26.328231811523438,-98.3944356666421,8267.7,0
3325,1645233193,26.328231811523438,-98.3944356666421,8267.7,0
3326,1645233194,26.327178955078125,-98.39707860406838,8267.7,0
3327,1645233195,26.326873262049787,-98.39778019831732,8267.7,0
3328,1645233196,26.32598876953125,-98.39998065300705,8267.7,0
3329,1645233197,26.325302124023438,-98.40174261129124,8267.7,0
3330,1645233198,26.32468530687235,-98.40332618126502,8267.7,0
3331,1645233199,26.324386596679688,-98.4040746149027,8267.7,0
3332,1645233200,26.32361460540254,-98.40596712552582,8267.7,0
3333,1645233201,26.323104858398438,-98.40723577535374,8267.7,0
3334,1645233202,26.322450799457098,-98.40887216421271,8267.7,0
3335,1645233203,26.32212493379237,-98.40971726637622,8267.7,0
3336,1645233204,26.32122802734375,-98.41189978257665,8267.7,0
3337,1645233205,26.32122802734375,-98.41189978257665,8267.7,0
3338,1645233206,26.320083618164062,-98.41485365381777,8267.7,0
3339,1645233207,26.320083618164062,-98.41485365381777,8267.7,0
3340,1645233208,26.320083618164062,-98.41485365381777,8267.7,0
3341,1645233209,26.318710327148438,-98.4183257480837,8267.7,0
3342,1645233210,26.318115234375,-98.41977677255306,8267.7,0
3343,1645233211,26.317520141601562,-98.42122779702237,8267.7,0
3344,1645233212,26.317520141601562,-98.42122779702237,8267.7,0
3345,1645233213,26.317520141601562,-98.42122779702237,8267.7,0
3346,1645233214,26.315840381686968,-98.42545729417066,8267.7,0
3347,1645233215,26.315281754833155,-98.42693622295673,8267.7,0
3348,1645233216,26.314676575741526,-98.42836233285755,8267.7,0
3349,1645233217,26.31374553098517,-98.43068636380707,8267.7,0
3350,1645233218,26.313491821289062,-98.43143679061023,8267.7,0
3351,1645233219,26.312814486228813,-98.4330103947566,8267.7,0
3352,1645233220,26.312255859375,-98.43448932354266,8267.7,0
3353,1645233221,26.311614990234375,-98.43610079783315,8267.7,0
3354,1645233222,26.311019897460938,-98.43755182230245,8267.7,0
3355,1645233223,26.310470581054688,-98.43900284677181,8267.7,0
3356,1645233224,26.30987548828125,-98.44045387124112,8267.7,0
3357,1645233225,26.30922996391684,-98.4420424241286,8267.7,0
3358,1645233226,26.308731079101562,-98.44335592017984,8267.7,0
3359,1645233227,26.308135986328125,-98.44485876695165,8267.7,0
3360,1645233228,26.307274769928494,-98.44700739933893,8267.7,0
3361,1645233229,26.3067626953125,-98.44833086121758,8267.7,0
3362,1645233230,26.30611096398305,-98.44991243802582,8267.7,0
3363,1645233231,26.30587820279396,-98.45049344576319,8267.7,0
3364,1645233232,26.304947158037606,-98.45281747671271,8267.7,0
3365,1645233233,26.304341978945974,-98.45429640549878,8267.7,0
3366,1645233234,26.30378335209216,-98.45577533428485,8267.7,0
3367,1645233235,26.303466796875,-98.45646696270637,8267.7,0
3368,1645233236,26.30294541181144,-98.4577824519231,8267.7,0
3369,1645233237,26.302386784957626,-98.45926138070911,8267.7,0
3370,1645233238,26.301781605865994,-98.46068749060998,8267.7,0
3371,1645233239,26.30099021782309,-98.46274742713342,8267.7,0
3372,1645233240,26.300524695444913,-98.46390944260816,8267.7,0
3373,1645233241,26.30015227754237,-98.46480736365686,8267.7,0
3374,1645233242,26.299530029296875,-98.46636502247935,8267.7,0
3375,1645233243,26.298988471596928,-98.46771240234375,8267.7,0
3376,1645233244,26.298019409179688,-98.47019987286262,8267.7,0
3377,1645233245,26.297731561175848,-98.47093435434192,8267.7,0
