,time,latitude,longitude,velocity,heading,baroaltitude,geoaltitude,signature,icao24,trip_number
1851,1645987995,27.200775146484375,-99.73927623820755,180.92418421727416,213.2834008410999,7924.8,8336.28,1,0d02a8,2
1852,1645987996,27.200775146484375,-99.73927623820755,180.92418421727416,213.2834008410999,7924.8,8336.28,0,0d02a8,2
1853,1645987997,27.200775146484375,-99.73927623820755,180.92418421727416,213.2834008410999,7924.8,8336.28,0,0d02a8,2
1854,1645987998,27.200775146484375,-99.73927623820755,180.92418421727416,213.2834008410999,7924.8,8336.28,0,0d02a8,2
1855,1645987999,27.200775146484375,-99.73927623820755,180.92418421727416,213.2834008410999,7924.8,8336.28,0,0d02a8,2
1856,1645988000,27.200775146484375,-99.73927623820755,180.92418421727416,213.2834008410999,7924.8,8336.28,0,0d02a8,2
1857,1645988001,27.200775146484375,-99.73927623820755,180.92418421727416,213.2834008410999,7924.8,8336.28,0,0d02a8,2
1858,1645988002,27.200775146484375,-99.73927623820755,180.92418421727416,213.2834008410999,7924.8,8336.28,0,0d02a8,2
1859,1645988003,27.200775146484375,-99.73927623820755,180.92418421727416,213.2834008410999,7924.8,8336.28,0,0d02a8,2
1860,1645988004,27.200775146484375,-99.73927623820755,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1861,1645988005,27.200775146484375,-99.73927623820755,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1862,1645988006,27.200775146484375,-99.73927623820755,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1863,1645988007,27.200775146484375,-99.73927623820755,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1864,1645988008,27.200775146484375,-99.73927623820755,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1865,1645988009,27.200775146484375,-99.73927623820755,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1866,1645988010,27.168677378509003,-99.76277864896335,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1867,1645988011,27.168677378509003,-99.76277864896335,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1868,1645988012,27.168677378509003,-99.76277864896335,181.35446185094887,213.19420769941095,7924.8,8336.28,1,0d02a8,2
1869,1645988013,27.168677378509003,-99.76277864896335,181.35446185094887,213.19420769941095,7924.8,8336.28,1,0d02a8,2
1870,1645988014,27.168677378509003,-99.76277864896335,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1871,1645988015,27.168677378509003,-99.76277864896335,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1872,1645988016,27.168677378509003,-99.76277864896335,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1873,1645988017,27.168677378509003,-99.76277864896335,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1874,1645988018,27.168677378509003,-99.76277864896335,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1875,1645988019,27.168677378509003,-99.76277864896335,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1876,1645988020,27.168677378509003,-99.76277864896335,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1877,1645988021,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1878,1645988022,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1879,1645988023,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,1,0d02a8,2
1880,1645988024,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1881,1645988025,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1882,1645988026,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1883,1645988027,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,1,0d02a8,2
1884,1645988028,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,1,0d02a8,2
1885,1645988029,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1886,1645988030,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1887,1645988031,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1888,1645988032,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1889,1645988033,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1890,1645988034,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1891,1645988035,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1892,1645988036,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,1,0d02a8,2
1893,1645988037,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,1,0d02a8,2
1894,1645988038,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1895,1645988039,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1896,1645988040,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1897,1645988041,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1898,1645988042,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1899,1645988043,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1900,1645988044,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,1,0d02a8,2
1901,1645988045,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1902,1645988046,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1903,1645988047,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
1904,1645988048,27.153641005693856,-99.77381779597356,181.35446185094887,213.19420769941095,7924.8,8336.28,0,0d02a8,2
