,time,lat,lon,velocity,heading,flight_number,signature
2499,1645465443,42.77105713,-73.18174189,64.10764914,9.235559093,0,0
2500,1645465444,42.77105713,-73.18174189,64.10764914,9.235559093,0,0
2501,1645465445,42.77105713,-73.18174189,64.10764914,9.235559093,0,0
2502,1645465446,42.77713064,-73.18031488,64.10764914,9.235559093,0,0
2503,1645465447,42.77713064,-73.18031488,64.10764914,9.235559093,0,0
2504,1645465448,42.77713064,-73.18031488,64.10764914,9.235559093,0,0
2505,1645465449,42.77713064,-73.18031488,64.10764914,9.235559093,0,0
2506,1645465450,42.77713064,-73.18031488,64.10764914,9.235559093,0,0
2507,1645465451,42.77713064,-73.18031488,64.10764914,9.235559093,0,0
2508,1645465452,42.77713064,-73.18031488,64.10764914,9.235559093,0,0
2509,1645465453,42.77713064,-73.18031488,64.10764914,9.235559093,0,0
2510,1645465454,42.78197208,-73.17916515,64.10764914,9.235559093,0,0
2511,1645465455,42.78197208,-73.17916515,64.10764914,9.235559093,0,0
2512,1645465456,42.78197208,-73.17916515,64.10764914,9.235559093,0,0
2513,1645465457,42.78364563,-73.17880804,63.77445887,10.22216863,0,0
2514,1645465458,42.78364563,-73.17880804,63.77445887,10.22216863,0,0
2515,1645465459,42.78364563,-73.17880804,63.77445887,10.22216863,0,0
2516,1645465460,42.78551005,-73.17833479,64.19222255,9.68878656,0,0
2517,1645465461,42.78551005,-73.17833479,64.19222255,9.68878656,0,0
2518,1645465462,42.78551005,-73.17833479,64.19222255,9.68878656,0,0
2519,1645465463,42.78694153,-73.17799655,64.61547707,9.162347046,0,0
2520,1645465464,42.78694153,-73.17799655,64.61547707,9.162347046,0,0
2521,1645465465,42.78816352,-73.17775992,64.61547707,9.162347046,0,0
2522,1645465466,42.78816352,-73.17775992,64.61547707,9.162347046,0,0
2523,1645465467,42.78816352,-73.17775992,64.61547707,9.162347046,0,0
2524,1645465468,42.78816352,-73.17775992,64.10764914,9.235559093,0,0
2525,1645465469,42.78816352,-73.17775992,64.10764914,9.235559093,0,0
2526,1645465470,42.78816352,-73.17775992,64.10764914,9.235559093,0,0
2527,1645465471,42.78816352,-73.17775992,64.10764914,9.235559093,0,0
2528,1645465472,42.79212046,-73.17686569,64.10764914,9.235559093,0,0
2529,1645465473,42.79212046,-73.17686569,64.10764914,9.235559093,0,0
2530,1645465474,42.79328427,-73.17661019,63.68517521,9.766679396,0,0
2531,1645465475,42.79328427,-73.17661019,63.68517521,9.766679396,0,0
2532,1645465476,42.79458618,-73.17631115,63.68517521,9.766679396,0,0
2533,1645465477,42.79505326,-73.17616307,63.68517521,9.766679396,0,0
2534,1645465478,42.79559326,-73.17606146,63.17824746,9.845822368,0,0
2535,1645465479,42.79614258,-73.17593661,63.17824746,9.845822368,0,0
2536,1645465480,42.79686879,-73.17577983,63.2682465,10.30484647,0,0
2537,1645465481,42.79742742,-73.17558821,63.2682465,10.30484647,0,0
2538,1645465482,42.79742742,-73.17558821,63.2682465,10.30484647,0,0
2539,1645465483,42.79742742,-73.17558821,63.2682465,10.30484647,0,0
2540,1645465484,42.79863778,-73.17533271,62.762168,10.38885782,0,0
2541,1645465485,42.79966193,-73.17507722,62.67144221,9.926245507,0,0
2542,1645465486,42.79994202,-73.17500028,62.67144221,9.926245507,0,0
2543,1645465487,42.80072021,-73.17481301,62.67144221,9.926245507,0,0
2544,1645465488,42.80101194,-73.17475785,62.67144221,9.926245507,0,0
2545,1645465489,42.80101194,-73.17475785,62.67144221,9.926245507,0,0
2546,1645465490,42.80101194,-73.17475785,62.67144221,9.926245507,0,0
2547,1645465491,42.80250549,-73.17437605,62.67144221,9.926245507,0,0
2548,1645465492,42.80328369,-73.17418879,62.67144221,9.926245507,0,0
2549,1645465493,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2550,1645465494,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2551,1645465495,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2552,1645465496,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2553,1645465497,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2554,1645465498,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2555,1645465499,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2556,1645465500,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2557,1645465501,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2558,1645465502,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2559,1645465503,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2560,1645465504,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2561,1645465505,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2562,1645465506,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2563,1645465507,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2564,1645465508,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
2565,1645465509,42.80328369,-73.17418879,62.07742692,9.540381805,0,0
