,time,latitude,longitude,velocity,heading,baroaltitude,geoaltitude,signature_label,icao24,trip_number
853,1645544563,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
854,1645544564,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
855,1645544565,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,1,a007c6,0
856,1645544566,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
857,1645544567,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
858,1645544568,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
859,1645544569,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
860,1645544570,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
861,1645544571,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
862,1645544572,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
863,1645544573,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
864,1645544574,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
865,1645544575,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
866,1645544576,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
867,1645544577,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
868,1645544578,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
869,1645544579,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
870,1645544580,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
871,1645544581,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
872,1645544582,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
873,1645544583,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
874,1645544584,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
875,1645544585,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
876,1645544586,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
877,1645544587,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
878,1645544588,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
879,1645544589,28.060592651367188,-81.69201190655049,52.965251522499166,245.92450174492114,563.88,632.46,0,a007c6,0
880,1645544590,28.054100941803494,-81.71103084788602,53.36845130563217,252.61302782308445,556.26,640.08,0,a007c6,0
881,1645544591,28.054100941803494,-81.71103084788602,53.36845130563217,252.61302782308445,556.26,640.08,0,a007c6,0
882,1645544592,28.054100941803494,-81.71103084788602,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
883,1645544593,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
884,1645544594,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
885,1645544595,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
886,1645544596,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
887,1645544597,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
888,1645544598,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
889,1645544599,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
890,1645544600,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
891,1645544601,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
892,1645544602,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
893,1645544603,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
894,1645544604,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
895,1645544605,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
896,1645544606,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
897,1645544607,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
898,1645544608,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
899,1645544609,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
900,1645544610,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,1,a007c6,0
901,1645544611,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
902,1645544612,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
903,1645544613,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
904,1645544614,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
905,1645544615,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
906,1645544616,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
907,1645544617,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
908,1645544618,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
909,1645544619,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
910,1645544620,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
911,1645544621,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
912,1645544622,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
913,1645544623,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
914,1645544624,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
915,1645544625,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
916,1645544626,28.05377197265625,-81.71229435847357,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
917,1645544627,28.048782348632812,-81.73035841721754,53.21698774249005,253.1416012322617,556.26,632.46,0,a007c6,0
918,1645544628,28.04870088221663,-81.73079546760113,52.657056464047365,255.2849283494022,556.26,632.46,0,a007c6,0
919,1645544629,28.04870088221663,-81.73079546760113,52.657056464047365,255.2849283494022,556.26,632.46,0,a007c6,0
920,1645544630,28.048421568789724,-81.73187255859375,53.42297214310174,254.35775354279127,548.64,632.46,0,a007c6,0
921,1645544631,28.048421568789724,-81.73187255859375,53.56397252317435,253.82784098421746,548.64,624.84,0,a007c6,0
922,1645544632,28.048141479492188,-81.73294654259314,54.35119728594792,252.9371428265386,548.64,624.84,0,a007c6,0
923,1645544633,28.04800259864936,-81.73354204963238,54.50436461469485,252.4201485733447,556.26,624.84,0,a007c6,0
924,1645544634,28.04800259864936,-81.73354204963238,54.50436461469485,252.4201485733447,556.26,624.84,0,a007c6,0
925,1645544635,28.047676732984637,-81.734619140625,55.48607063704446,252.7410457070959,548.64,632.46,0,a007c6,0
926,1645544636,28.047592163085938,-81.73490084134613,55.48607063704446,252.7410457070959,548.64,632.46,0,a007c6,0
927,1645544637,28.047592163085938,-81.73490084134613,55.79998370774887,251.73209379275886,548.64,617.22,1,a007c6,0
928,1645544638,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,0,a007c6,0
929,1645544639,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,0,a007c6,0
930,1645544640,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,0,a007c6,0
931,1645544641,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,0,a007c6,0
932,1645544642,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,1,a007c6,0
933,1645544643,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,0,a007c6,0
934,1645544644,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,0,a007c6,0
935,1645544645,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,0,a007c6,0
936,1645544646,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,0,a007c6,0
937,1645544647,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,0,a007c6,0
938,1645544648,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,0,a007c6,0
939,1645544649,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,0,a007c6,0
940,1645544650,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,0,a007c6,0
941,1645544651,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,0,a007c6,0
942,1645544652,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,0,a007c6,0
943,1645544653,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,0,a007c6,0
944,1645544654,28.047225952148438,-81.73616849459131,55.79998370774887,251.73209379275886,548.64,617.22,0,a007c6,0
945,1645544655,28.047225952148438,-81.73616849459131,52.965251522499166,245.92450174492114,548.64,617.22,0,a007c6,0
946,1645544656,28.047225952148438,-81.73616849459131,52.965251522499166,245.92450174492114,548.64,617.22,0,a007c6,0
947,1645544657,28.04381289724576,-81.74587474149814,52.965251522499166,245.92450174492114,548.64,617.22,0,a007c6,0
948,1645544658,28.043655395507812,-81.74630972055286,52.965251522499166,245.92450174492114,548.64,624.84,0,a007c6,0
949,1645544659,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
950,1645544660,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
951,1645544661,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
952,1645544662,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
953,1645544663,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
954,1645544664,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
955,1645544665,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
956,1645544666,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
957,1645544667,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
958,1645544668,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
959,1645544669,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
960,1645544670,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
961,1645544671,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
962,1645544672,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
963,1645544673,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
964,1645544674,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
965,1645544675,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
966,1645544676,28.04351806640625,-81.7466266338642,52.28634294894682,246.20922613422277,548.64,617.22,0,a007c6,0
967,1645544677,28.04022216796875,-81.75565866323618,52.83016777247879,247.68055960702492,548.64,624.84,0,a007c6,0
968,1645544678,28.040084838867188,-81.75597557654748,52.83016777247879,247.68055960702492,541.02,624.84,0,a007c6,0
969,1645544679,28.040084838867188,-81.75597557654748,52.83016777247879,247.68055960702492,541.02,617.22,0,a007c6,0
970,1645544680,28.039718627929688,-81.75708477313702,52.83016777247879,247.68055960702492,548.64,617.22,0,a007c6,0
971,1645544681,28.039718627929688,-81.75708477313702,52.83016777247879,247.68055960702492,548.64,617.22,0,a007c6,0
972,1645544682,28.039718627929688,-81.75708477313702,52.83016777247879,247.68055960702492,548.64,617.22,0,a007c6,0
973,1645544683,28.039260864257812,-81.75835242638222,52.636948756788556,248.19859051364818,548.64,624.84,0,a007c6,0
974,1645544684,28.039260864257812,-81.75835242638222,52.636948756788556,248.19859051364818,548.64,624.84,0,a007c6,0
975,1645544685,28.038878360037074,-81.75939223345591,52.92776284148575,248.92250588301326,548.64,624.84,0,a007c6,0
976,1645544686,28.038692151085804,-81.7599307789522,52.92776284148575,248.92250588301326,548.64,624.84,0,a007c6,0
977,1645544687,28.038692151085804,-81.7599307789522,52.92776284148575,248.92250588301326,548.64,624.84,0,a007c6,0
978,1645544688,28.038692151085804,-81.7599307789522,51.96903001146818,248.51455668293656,548.64,624.84,0,a007c6,0
979,1645544689,28.038692151085804,-81.7599307789522,51.96903001146818,248.51455668293656,548.64,624.84,0,a007c6,0
980,1645544690,28.037933349609375,-81.76210256723255,51.96903001146818,248.51455668293656,548.64,624.84,0,a007c6,0
981,1645544691,28.037933349609375,-81.76210256723255,51.96903001146818,248.51455668293656,548.64,624.84,0,a007c6,0
982,1645544692,28.03752834514036,-81.76326976102939,51.96903001146818,248.51455668293656,548.64,624.84,0,a007c6,0
983,1645544693,28.03752834514036,-81.76326976102939,51.68306285302418,247.77496954888642,548.64,624.84,0,a007c6,0
984,1645544694,28.03752834514036,-81.76326976102939,51.68306285302418,247.77496954888642,548.64,624.84,0,a007c6,0
985,1645544695,28.037155927237816,-81.7642391429228,51.68306285302418,247.77496954888642,548.64,624.84,0,a007c6,0
986,1645544696,28.037155927237816,-81.7642391429228,51.68306285302418,247.77496954888642,548.64,624.84,0,a007c6,0
987,1645544697,28.036597300384003,-81.7656932157629,52.28634294894682,246.20922613422277,541.02,617.22,0,a007c6,0
988,1645544698,28.036597300384003,-81.7656932157629,52.28634294894682,246.20922613422277,541.02,617.22,0,a007c6,0
989,1645544699,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
990,1645544700,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
991,1645544701,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
992,1645544702,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
993,1645544703,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
994,1645544704,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
995,1645544705,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
996,1645544706,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
997,1645544707,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
998,1645544708,28.036597300384003,-81.7656932157629,52.965251522499166,245.92450174492114,541.02,617.22,0,a007c6,0
