,time,Latitude,Longitude,signature_label,icao24,trip_number
161,1645295994,39.669525146484375,-84.80048138162363,0,adc0fb,1
162,1645295995,39.669525146484375,-84.80048138162363,0,adc0fb,1
163,1645295996,39.669525146484375,-84.80048138162363,0,adc0fb,1
164,1645295997,39.669525146484375,-84.80048138162363,0,adc0fb,1
165,1645295998,39.669525146484375,-84.80048138162363,0,adc0fb,1
166,1645295999,39.669525146484375,-84.80048138162363,0,adc0fb,1
167,1645296000,39.669525146484375,-84.80048138162363,0,adc0fb,1
168,1645296001,39.669525146484375,-84.80048138162363,0,adc0fb,1
169,1645296002,39.669525146484375,-84.80048138162363,0,adc0fb,1
170,1645296003,39.669525146484375,-84.80048138162363,0,adc0fb,1
171,1645296004,39.669525146484375,-84.80048138162363,0,adc0fb,1
172,1645296005,39.669525146484375,-84.80048138162363,0,adc0fb,1
173,1645296006,39.669525146484375,-84.80048138162363,0,adc0fb,1
174,1645296007,39.669525146484375,-84.80048138162363,0,adc0fb,1
175,1645296008,39.669525146484375,-84.80048138162363,0,adc0fb,1
176,1645296009,39.65915485963983,-84.79302978515625,0,adc0fb,1
177,1645296010,39.65841002383475,-84.79248046875,0,adc0fb,1
178,1645296011,39.657989501953125,-84.79218192722487,0,adc0fb,1
179,1645296012,39.657989501953125,-84.79218192722487,0,adc0fb,1
180,1645296013,39.657989501953125,-84.79218192722487,0,adc0fb,1
181,1645296014,39.657989501953125,-84.79218192722487,0,adc0fb,1
182,1645296015,39.657989501953125,-84.79218192722487,0,adc0fb,1
183,1645296016,39.657989501953125,-84.79218192722487,0,adc0fb,1
184,1645296017,39.657989501953125,-84.79218192722487,0,adc0fb,1
185,1645296018,39.657989501953125,-84.79218192722487,0,adc0fb,1
186,1645296019,39.657989501953125,-84.79218192722487,0,adc0fb,1
187,1645296020,39.657989501953125,-84.79218192722487,0,adc0fb,1
188,1645296021,39.657989501953125,-84.79218192722487,0,adc0fb,1
189,1645296022,39.657989501953125,-84.79218192722487,0,adc0fb,1
190,1645296023,39.65259099410752,-84.78802490234375,0,adc0fb,1
191,1645296024,39.65235900878906,-84.78788292926288,0,adc0fb,1
192,1645296025,39.65235900878906,-84.78788292926288,0,adc0fb,1
193,1645296026,39.65235900878906,-84.78788292926288,0,adc0fb,1
194,1645296027,39.65235900878906,-84.78788292926288,0,adc0fb,1
195,1645296028,39.65235900878906,-84.78788292926288,0,adc0fb,1
196,1645296029,39.65235900878906,-84.78788292926288,0,adc0fb,1
197,1645296030,39.64947199417373,-84.7855224609375,0,adc0fb,1
198,1645296031,39.64947199417373,-84.7855224609375,0,adc0fb,1
199,1645296032,39.64947199417373,-84.7855224609375,0,adc0fb,1
200,1645296033,39.64947199417373,-84.7855224609375,0,adc0fb,1
201,1645296034,39.64947199417373,-84.7855224609375,0,adc0fb,1
202,1645296035,39.64709783004502,-84.78350830078125,0,adc0fb,1
203,1645296036,39.64709783004502,-84.78350830078125,0,adc0fb,1
204,1645296037,39.64639954647775,-84.78289794921875,0,adc0fb,1
205,1645296038,39.64639954647775,-84.78289794921875,0,adc0fb,1
206,1645296039,39.64639954647775,-84.78289794921875,0,adc0fb,1
207,1645296040,39.64639954647775,-84.78289794921875,0,adc0fb,1
208,1645296041,39.64639954647775,-84.78289794921875,0,adc0fb,1
209,1645296042,39.64639954647775,-84.78289794921875,0,adc0fb,1
210,1645296043,39.64639954647775,-84.78289794921875,0,adc0fb,1
211,1645296044,39.64639954647775,-84.78289794921875,0,adc0fb,1
212,1645296045,39.64639954647775,-84.78289794921875,0,adc0fb,1
213,1645296046,39.64639954647775,-84.78289794921875,0,adc0fb,1
214,1645296047,39.64639954647775,-84.78289794921875,0,adc0fb,1
215,1645296048,39.64639954647775,-84.78289794921875,0,adc0fb,1
216,1645296049,39.64639954647775,-84.78289794921875,0,adc0fb,1
217,1645296050,39.64639954647775,-84.78289794921875,0,adc0fb,1
218,1645296051,39.64639954647775,-84.78289794921875,0,adc0fb,1
219,1645296052,39.64639954647775,-84.78289794921875,0,adc0fb,1
220,1645296053,39.64639954647775,-84.78289794921875,0,adc0fb,1
221,1645296054,39.64639954647775,-84.78289794921875,0,adc0fb,1
222,1645296055,39.64639954647775,-84.78289794921875,0,adc0fb,1
223,1645296056,39.64639954647775,-84.78289794921875,0,adc0fb,1
224,1645296057,39.64639954647775,-84.78289794921875,0,adc0fb,1
225,1645296058,39.64639954647775,-84.78289794921875,0,adc0fb,1
226,1645296059,39.64639954647775,-84.78289794921875,0,adc0fb,1
227,1645296060,39.63601839744438,-84.77435302734375,0,adc0fb,1
228,1645296061,39.63560485839844,-84.77403060249662,0,adc0fb,1
229,1645296062,39.63533020019531,-84.7738514775815,0,adc0fb,1
230,1645296063,39.63487243652344,-84.77349322775137,0,adc0fb,1
231,1645296064,39.63446044921875,-84.77313497792119,0,adc0fb,1
232,1645296065,39.63446044921875,-84.77313497792119,0,adc0fb,1
233,1645296066,39.63446044921875,-84.77313497792119,0,adc0fb,1
234,1645296067,39.63446044921875,-84.77313497792119,0,adc0fb,1
235,1645296068,39.63446044921875,-84.77313497792119,0,adc0fb,1
236,1645296069,39.63446044921875,-84.77313497792119,0,adc0fb,1
237,1645296070,39.63446044921875,-84.77313497792119,0,adc0fb,1
238,1645296071,39.63446044921875,-84.77313497792119,0,adc0fb,1
239,1645296072,39.63093566894531,-84.77044810419497,0,adc0fb,1
240,1645296073,39.63093566894531,-84.77044810419497,0,adc0fb,1
241,1645296074,39.63093566894531,-84.77044810419497,0,adc0fb,1
242,1645296075,39.63093566894531,-84.77044810419497,0,adc0fb,1
243,1645296076,39.63093566894531,-84.77044810419497,0,adc0fb,1
244,1645296077,39.63093566894531,-84.77044810419497,0,adc0fb,1
245,1645296078,39.63093566894531,-84.77044810419497,0,adc0fb,1
246,1645296079,39.63093566894531,-84.77044810419497,0,adc0fb,1
247,1645296080,39.63093566894531,-84.77044810419497,0,adc0fb,1
248,1645296081,39.63093566894531,-84.77044810419497,0,adc0fb,1
249,1645296082,39.63093566894531,-84.77044810419497,0,adc0fb,1
250,1645296083,39.63093566894531,-84.77044810419497,0,adc0fb,1
251,1645296084,39.63093566894531,-84.77044810419497,0,adc0fb,1
252,1645296085,39.63093566894531,-84.77044810419497,0,adc0fb,1
253,1645296086,39.63093566894531,-84.77044810419497,0,adc0fb,1
254,1645296087,39.62388610839844,-84.76489523182745,0,adc0fb,1
255,1645296088,39.62388610839844,-84.76489523182745,0,adc0fb,1
256,1645296089,39.62388610839844,-84.76489523182745,0,adc0fb,1
257,1645296090,39.62388610839844,-84.76489523182745,0,adc0fb,1
258,1645296091,39.62388610839844,-84.76489523182745,0,adc0fb,1
259,1645296092,39.62388610839844,-84.76489523182745,0,adc0fb,1
260,1645296093,39.62388610839844,-84.76489523182745,0,adc0fb,1
261,1645296094,39.62388610839844,-84.76489523182745,0,adc0fb,1
262,1645296095,39.62388610839844,-84.76489523182745,0,adc0fb,1
263,1645296096,39.62388610839844,-84.76489523182745,0,adc0fb,1
264,1645296097,39.62388610839844,-84.76489523182745,0,adc0fb,1
265,1645296098,39.62388610839844,-84.76489523182745,0,adc0fb,1
266,1645296099,39.62388610839844,-84.76489523182745,0,adc0fb,1
267,1645296100,39.62388610839844,-84.76489523182745,0,adc0fb,1
268,1645296101,39.62388610839844,-84.76489523182745,0,adc0fb,1
269,1645296102,39.62388610839844,-84.76489523182745,0,adc0fb,1
270,1645296103,39.62388610839844,-84.76489523182745,0,adc0fb,1
271,1645296104,39.62388610839844,-84.76489523182745,0,adc0fb,1
272,1645296105,39.62388610839844,-84.76489523182745,0,adc0fb,1
273,1645296106,39.62388610839844,-84.76489523182745,0,adc0fb,1
274,1645296107,39.62388610839844,-84.76489523182745,0,adc0fb,1
275,1645296108,39.62388610839844,-84.76489523182745,0,adc0fb,1
276,1645296109,39.62388610839844,-84.76489523182745,0,adc0fb,1
277,1645296110,39.62388610839844,-84.76489523182745,0,adc0fb,1
278,1645296111,39.62388610839844,-84.76489523182745,0,adc0fb,1
279,1645296112,39.62388610839844,-84.76489523182745,0,adc0fb,1
280,1645296113,39.62388610839844,-84.76489523182745,0,adc0fb,1
281,1645296114,39.62388610839844,-84.76489523182745,0,adc0fb,1
282,1645296115,39.62388610839844,-84.76489523182745,0,adc0fb,1
283,1645296116,39.611663818359375,-84.75498365319294,0,adc0fb,1
284,1645296117,39.61101984573623,-84.75445556640625,0,adc0fb,1
285,1645296118,39.61079406738281,-84.75426715353262,0,adc0fb,1
286,1645296119,39.61079406738281,-84.75426715353262,0,adc0fb,1
287,1645296120,39.61079406738281,-84.75426715353262,0,adc0fb,1
288,1645296121,39.61079406738281,-84.75426715353262,0,adc0fb,1
289,1645296122,39.61079406738281,-84.75426715353262,0,adc0fb,1
290,1645296123,39.61079406738281,-84.75426715353262,0,adc0fb,1
291,1645296124,39.61079406738281,-84.75426715353262,0,adc0fb,1
292,1645296125,39.61079406738281,-84.75426715353262,0,adc0fb,1
293,1645296126,39.61079406738281,-84.75426715353262,0,adc0fb,1
294,1645296127,39.61079406738281,-84.75426715353262,0,adc0fb,1
295,1645296128,39.61079406738281,-84.75426715353262,0,adc0fb,1
296,1645296129,39.61079406738281,-84.75426715353262,0,adc0fb,1
297,1645296130,39.61079406738281,-84.75426715353262,0,adc0fb,1
298,1645296131,39.61079406738281,-84.75426715353262,0,adc0fb,1
299,1645296132,39.61079406738281,-84.75426715353262,0,adc0fb,1
300,1645296133,39.61079406738281,-84.75426715353262,0,adc0fb,1
301,1645296134,39.61079406738281,-84.75426715353262,0,adc0fb,1
302,1645296135,39.61079406738281,-84.75426715353262,0,adc0fb,1
303,1645296136,39.61079406738281,-84.75426715353262,0,adc0fb,1
304,1645296137,39.61079406738281,-84.75426715353262,0,adc0fb,1
305,1645296138,39.61079406738281,-84.75426715353262,0,adc0fb,1
306,1645296139,39.61079406738281,-84.75426715353262,0,adc0fb,1
307,1645296140,39.61079406738281,-84.75426715353262,0,adc0fb,1
308,1645296141,39.61079406738281,-84.75426715353262,0,adc0fb,1
309,1645296142,39.61079406738281,-84.75426715353262,0,adc0fb,1
310,1645296143,39.61079406738281,-84.75426715353262,0,adc0fb,1
311,1645296144,39.61079406738281,-84.75426715353262,0,adc0fb,1
312,1645296145,39.61079406738281,-84.75426715353262,0,adc0fb,1
313,1645296146,39.61079406738281,-84.75426715353262,0,adc0fb,1
314,1645296147,39.61079406738281,-84.75426715353262,0,adc0fb,1
315,1645296148,39.61079406738281,-84.75426715353262,0,adc0fb,1
316,1645296149,39.61079406738281,-84.75426715353262,0,adc0fb,1
317,1645296150,39.61079406738281,-84.75426715353262,0,adc0fb,1
318,1645296151,39.61079406738281,-84.75426715353262,0,adc0fb,1
319,1645296152,39.61079406738281,-84.75426715353262,0,adc0fb,1
320,1645296153,39.61079406738281,-84.75426715353262,0,adc0fb,1
321,1645296154,39.61079406738281,-84.75426715353262,0,adc0fb,1
322,1645296155,39.61079406738281,-84.75426715353262,0,adc0fb,1
323,1645296156,39.61079406738281,-84.75426715353262,0,adc0fb,1
324,1645296157,39.61079406738281,-84.75426715353262,0,adc0fb,1
325,1645296158,39.61079406738281,-84.75426715353262,0,adc0fb,1
326,1645296159,39.61079406738281,-84.75426715353262,0,adc0fb,1
327,1645296160,39.61079406738281,-84.75426715353262,0,adc0fb,1
328,1645296161,39.61079406738281,-84.75426715353262,0,adc0fb,1
329,1645296162,39.61079406738281,-84.75426715353262,0,adc0fb,1
330,1645296163,39.61079406738281,-84.75426715353262,0,adc0fb,1
331,1645296164,39.61079406738281,-84.75426715353262,0,adc0fb,1
332,1645296165,39.61079406738281,-84.75426715353262,0,adc0fb,1
333,1645296166,39.61079406738281,-84.75426715353262,0,adc0fb,1
334,1645296167,39.58918762207031,-84.73641437032948,0,adc0fb,1
335,1645296168,39.58905029296875,-84.73629495371944,0,adc0fb,1
336,1645296169,39.58905029296875,-84.73629495371944,0,adc0fb,1
337,1645296170,39.58905029296875,-84.73629495371944,0,adc0fb,1
338,1645296171,39.58905029296875,-84.73629495371944,0,adc0fb,1
339,1645296172,39.58905029296875,-84.73629495371944,0,adc0fb,1
340,1645296173,39.58905029296875,-84.73629495371944,0,adc0fb,1
341,1645296174,39.58905029296875,-84.73629495371944,0,adc0fb,1
342,1645296175,39.58905029296875,-84.73629495371944,0,adc0fb,1
343,1645296176,39.585509219412074,-84.73333740234375,0,adc0fb,1
344,1645296177,39.585509219412074,-84.73333740234375,0,adc0fb,1
345,1645296178,39.585509219412074,-84.73333740234375,0,adc0fb,1
346,1645296179,39.585509219412074,-84.73333740234375,0,adc0fb,1
347,1645296180,39.47838313280019,-84.58183734680995,1,adc0fb,1
348,1645296181,39.585509219412074,-84.73333740234375,0,adc0fb,1
349,1645296182,39.585509219412074,-84.73333740234375,0,adc0fb,1
350,1645296183,39.585509219412074,-84.73333740234375,0,adc0fb,1
351,1645296184,39.585509219412074,-84.73333740234375,0,adc0fb,1
352,1645296185,39.585509219412074,-84.73333740234375,0,adc0fb,1
353,1645296186,39.585509219412074,-84.73333740234375,0,adc0fb,1
354,1645296187,39.58099365234375,-84.7296142578125,0,adc0fb,1
355,1645296188,39.58012390136719,-84.72907024881113,0,adc0fb,1
356,1645296189,39.58012390136719,-84.72907024881113,0,adc0fb,1
357,1645296190,39.58012390136719,-84.72907024881113,0,adc0fb,1
358,1645296191,39.58012390136719,-84.72907024881113,0,adc0fb,1
359,1645296192,39.58012390136719,-84.72907024881113,0,adc0fb,1
360,1645296193,39.46288505930755,-84.61081371085695,1,adc0fb,1
361,1645296194,39.58012390136719,-84.72907024881113,0,adc0fb,1
362,1645296195,39.58012390136719,-84.72907024881113,0,adc0fb,1
363,1645296196,39.58012390136719,-84.72907024881113,0,adc0fb,1
364,1645296197,39.58012390136719,-84.72907024881113,0,adc0fb,1
365,1645296198,39.58012390136719,-84.72907024881113,0,adc0fb,1
366,1645296199,39.58012390136719,-84.72907024881113,0,adc0fb,1
367,1645296200,39.58012390136719,-84.72907024881113,0,adc0fb,1
368,1645296201,39.58012390136719,-84.72907024881113,0,adc0fb,1
369,1645296202,39.58012390136719,-84.72907024881113,0,adc0fb,1
370,1645296203,39.58012390136719,-84.72907024881113,0,adc0fb,1
371,1645296204,39.58012390136719,-84.72907024881113,0,adc0fb,1
372,1645296205,39.58012390136719,-84.72907024881113,0,adc0fb,1
373,1645296206,39.58012390136719,-84.72907024881113,0,adc0fb,1
374,1645296207,39.58012390136719,-84.72907024881113,0,adc0fb,1
375,1645296208,39.58012390136719,-84.72907024881113,0,adc0fb,1
376,1645296209,39.58012390136719,-84.72907024881113,0,adc0fb,1
377,1645296210,39.58012390136719,-84.72907024881113,0,adc0fb,1
378,1645296211,39.58012390136719,-84.72907024881113,0,adc0fb,1
379,1645296212,39.58012390136719,-84.72907024881113,0,adc0fb,1
380,1645296213,39.58012390136719,-84.72907024881113,0,adc0fb,1
381,1645296214,39.58012390136719,-84.72907024881113,0,adc0fb,1
382,1645296215,39.58012390136719,-84.72907024881113,0,adc0fb,1
383,1645296216,39.58012390136719,-84.72907024881113,0,adc0fb,1
384,1645296217,39.58012390136719,-84.72907024881113,0,adc0fb,1
385,1645296218,39.58012390136719,-84.72907024881113,0,adc0fb,1
386,1645296219,39.58012390136719,-84.72907024881113,0,adc0fb,1
387,1645296220,39.58012390136719,-84.72907024881113,0,adc0fb,1
388,1645296221,39.58012390136719,-84.72907024881113,0,adc0fb,1
389,1645296222,39.58012390136719,-84.72907024881113,0,adc0fb,1
390,1645296223,39.58012390136719,-84.72907024881113,0,adc0fb,1
391,1645296224,39.58012390136719,-84.72907024881113,0,adc0fb,1
392,1645296225,39.58012390136719,-84.72907024881113,0,adc0fb,1
