,time,latitude,longitude,velocity,signature_label,icao24,trip_number
81,1645640249,28.07647705078125,-81.6839834359976,,0,a007c6,3
82,1645640250,28.07647705078125,-81.6839834359976,,0,a007c6,3
83,1645640251,28.07647705078125,-81.6839834359976,,0,a007c6,3
84,1645640252,28.07647705078125,-81.6839834359976,,0,a007c6,3
85,1645640253,28.07647705078125,-81.6839834359976,,0,a007c6,3
86,1645640254,28.07647705078125,-81.6839834359976,,0,a007c6,3
87,1645640255,28.07647705078125,-81.6839834359976,,0,a007c6,3
88,1645640256,28.07647705078125,-81.6839834359976,,0,a007c6,3
89,1645640257,28.07647705078125,-81.6839834359976,,0,a007c6,3
90,1645640258,28.07647705078125,-81.6839834359976,,0,a007c6,3
91,1645640259,28.07647705078125,-81.6839834359976,,0,a007c6,3
92,1645640260,28.07647705078125,-81.6839834359976,,0,a007c6,3
