,window,mean_geoaltitude
113,"Row(start=datetime.datetime(2022, 2, 20, 14, 18), end=datetime.datetime(2022, 2, 20, 14, 20))",532.2570000000002
114,"Row(start=datetime.datetime(2022, 2, 20, 14, 20), end=datetime.datetime(2022, 2, 20, 14, 22))",633.2855
115,"Row(start=datetime.datetime(2022, 2, 20, 14, 22), end=datetime.datetime(2022, 2, 20, 14, 24))",506.7300000000012
116,"Row(start=datetime.datetime(2022, 2, 20, 14, 24), end=datetime.datetime(2022, 2, 20, 14, 26))",495.30000000000103
117,"Row(start=datetime.datetime(2022, 2, 20, 14, 26), end=datetime.datetime(2022, 2, 20, 14, 28))",538.9244999999996
118,"Row(start=datetime.datetime(2022, 2, 20, 14, 28), end=datetime.datetime(2022, 2, 20, 14, 30))",617.7915000000002
119,"Row(start=datetime.datetime(2022, 2, 20, 14, 30), end=datetime.datetime(2022, 2, 20, 14, 32))",508.12700000000075
120,"Row(start=datetime.datetime(2022, 2, 20, 14, 32), end=datetime.datetime(2022, 2, 20, 14, 34))",638.6829999999995
121,"Row(start=datetime.datetime(2022, 2, 20, 14, 34), end=datetime.datetime(2022, 2, 20, 14, 36))",576.5165000000002
122,"Row(start=datetime.datetime(2022, 2, 20, 14, 36), end=datetime.datetime(2022, 2, 20, 14, 38))",533.400000000001
123,"Row(start=datetime.datetime(2022, 2, 20, 14, 38), end=datetime.datetime(2022, 2, 20, 14, 40))",533.400000000001
124,"Row(start=datetime.datetime(2022, 2, 20, 14, 40), end=datetime.datetime(2022, 2, 20, 14, 42))",533.4
125,"Row(start=datetime.datetime(2022, 2, 20, 14, 46), end=datetime.datetime(2022, 2, 20, 14, 48))",116.26645161290325
126,"Row(start=datetime.datetime(2022, 2, 20, 14, 48), end=datetime.datetime(2022, 2, 20, 14, 50))",122.49150000000006
127,"Row(start=datetime.datetime(2022, 2, 20, 14, 50), end=datetime.datetime(2022, 2, 20, 14, 52))",230.44149999999982
128,"Row(start=datetime.datetime(2022, 2, 20, 14, 52), end=datetime.datetime(2022, 2, 20, 14, 54))",371.47499999999974
129,"Row(start=datetime.datetime(2022, 2, 20, 14, 54), end=datetime.datetime(2022, 2, 20, 14, 56))",374.39599999999996
130,"Row(start=datetime.datetime(2022, 2, 20, 14, 56), end=datetime.datetime(2022, 2, 20, 14, 58))",376.4279999999998
131,"Row(start=datetime.datetime(2022, 2, 20, 14, 58), end=datetime.datetime(2022, 2, 20, 15, 0))",351.7264999999998
132,"Row(start=datetime.datetime(2022, 2, 20, 15, 0), end=datetime.datetime(2022, 2, 20, 15, 2))",248.00218487394986
133,"Row(start=datetime.datetime(2022, 2, 20, 15, 2), end=datetime.datetime(2022, 2, 20, 15, 4))",136.46150000000006
134,"Row(start=datetime.datetime(2022, 2, 20, 15, 4), end=datetime.datetime(2022, 2, 20, 15, 6))",84.39149999999987
135,"Row(start=datetime.datetime(2022, 2, 20, 15, 6), end=datetime.datetime(2022, 2, 20, 15, 8))",112.64899999999994
136,"Row(start=datetime.datetime(2022, 2, 20, 15, 8), end=datetime.datetime(2022, 2, 20, 15, 10))",297.37050000000056
137,"Row(start=datetime.datetime(2022, 2, 20, 15, 10), end=datetime.datetime(2022, 2, 20, 15, 12))",324.0404999999999
138,"Row(start=datetime.datetime(2022, 2, 20, 15, 12), end=datetime.datetime(2022, 2, 20, 15, 14))",306.45099999999974
139,"Row(start=datetime.datetime(2022, 2, 20, 15, 14), end=datetime.datetime(2022, 2, 20, 15, 16))",222.3135000000007
140,"Row(start=datetime.datetime(2022, 2, 20, 15, 16), end=datetime.datetime(2022, 2, 20, 15, 18))",205.8035000000004
141,"Row(start=datetime.datetime(2022, 2, 20, 15, 18), end=datetime.datetime(2022, 2, 20, 15, 20))",200.3425000000001
142,"Row(start=datetime.datetime(2022, 2, 20, 15, 20), end=datetime.datetime(2022, 2, 20, 15, 22))",206.38033613445396
143,"Row(start=datetime.datetime(2022, 2, 20, 15, 22), end=datetime.datetime(2022, 2, 20, 15, 24))",215.07449999999974
144,"Row(start=datetime.datetime(2022, 2, 20, 15, 24), end=datetime.datetime(2022, 2, 20, 15, 26))",222.37699999999953
145,"Row(start=datetime.datetime(2022, 2, 20, 15, 26), end=datetime.datetime(2022, 2, 20, 15, 28))",228.59999999999957
146,"Row(start=datetime.datetime(2022, 2, 20, 15, 28), end=datetime.datetime(2022, 2, 20, 15, 30))",1274.3290434782598
147,"Row(start=datetime.datetime(2022, 2, 20, 15, 30), end=datetime.datetime(2022, 2, 20, 15, 32))",
148,"Row(start=datetime.datetime(2022, 2, 20, 15, 32), end=datetime.datetime(2022, 2, 20, 15, 34))",
149,"Row(start=datetime.datetime(2022, 2, 20, 15, 34), end=datetime.datetime(2022, 2, 20, 15, 36))",
150,"Row(start=datetime.datetime(2022, 2, 20, 16, 22), end=datetime.datetime(2022, 2, 20, 16, 24))",1640.9125714285703
151,"Row(start=datetime.datetime(2022, 2, 20, 16, 24), end=datetime.datetime(2022, 2, 20, 16, 26))",1634.1089999999945
152,"Row(start=datetime.datetime(2022, 2, 20, 16, 26), end=datetime.datetime(2022, 2, 20, 16, 28))",1630.0449999999971
153,"Row(start=datetime.datetime(2022, 2, 20, 16, 28), end=datetime.datetime(2022, 2, 20, 16, 30))",1647.8249999999991
154,"Row(start=datetime.datetime(2022, 2, 20, 16, 30), end=datetime.datetime(2022, 2, 20, 16, 32))",1628.6479999999997
155,"Row(start=datetime.datetime(2022, 2, 20, 16, 32), end=datetime.datetime(2022, 2, 20, 16, 34))",1605.2164999999998
156,"Row(start=datetime.datetime(2022, 2, 20, 16, 34), end=datetime.datetime(2022, 2, 20, 16, 36))",1381.3790000000022
157,"Row(start=datetime.datetime(2022, 2, 20, 16, 36), end=datetime.datetime(2022, 2, 20, 16, 38))",1264.6025000000006
158,"Row(start=datetime.datetime(2022, 2, 20, 16, 38), end=datetime.datetime(2022, 2, 20, 16, 40))",1264.9200000000005
159,"Row(start=datetime.datetime(2022, 2, 20, 16, 40), end=datetime.datetime(2022, 2, 20, 16, 42))",1264.9199999999985
160,"Row(start=datetime.datetime(2022, 2, 20, 18, 18), end=datetime.datetime(2022, 2, 20, 18, 20))",
161,"Row(start=datetime.datetime(2022, 2, 20, 18, 20), end=datetime.datetime(2022, 2, 20, 18, 22))",375.5189473684211
